Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4,,,4959898.644
8/10/2022,8:27:47,16.745,37.02,4960817.54,0.000593038,14867741.63,0.003553393,24774002.28,0.001193713,34680023.14,0.00117244,44586686.24,0.001136793,,,
8/10/2022,8:27:48,18.068,37.02,4960817.76,0.000592848,14867721.07,0.00351034,24774003.82,0.001193413,34680025.68,0.001172547,44586689.9,0.001137207,,,
8/10/2022,8:27:50,19.498,37.02,4960818.01,0.000592677,14867719.14,0.003504607,24774005.4,0.001193733,34680027.95,0.001172427,44586692.67,0.001136233,,,
8/10/2022,8:27:51,20.632,37.02,4960818.14,0.000592506,14867726.73,0.00351808,24774006.82,0.001193907,34680030.11,0.001172407,44586695.66,0.00113626,,,
8/10/2022,8:27:54,23.254,37.02,4960818.67,0.000592195,14867740.56,0.00354286,24774009.1,0.00119366,34680033.98,0.001172247,44586700.79,0.001135767,,,
8/10/2022,8:27:55,24.505,37.02,4960818.95,0.000592002,14867708.53,0.003477407,24774010.21,0.00119362,34680035.89,0.001172307,44586703.32,0.001136033,,,
8/10/2022,8:27:56,25.756,37.02,4960819.05,0.000591805,14867727.96,0.003515047,24774011.28,0.001193387,34680037.75,0.001172373,44586706.06,0.00113682,,,
8/10/2022,8:27:57,27.005,37.02,4960819.28,0.000591627,14867741.12,0.003540133,24774012.34,0.001193333,34680039.41,0.001172193,44586708.31,0.0011368,,,
8/10/2022,8:27:59,28.255,37.02,4960819.42,0.000591468,14867708.75,0.003474127,24774013.23,0.0011931,34680040.94,0.00117196,44586710.28,0.00113648,,,
8/10/2022,8:28:00,29.506,37.02,4960819.7,0.000591276,14867699.68,0.003454833,24774014.13,0.001193113,34680042.55,0.001171927,44586711.88,0.00113546,,,
8/10/2022,8:28:01,30.826,37.02,4960819.77,0.000591097,14867684.76,0.003423853,24774015.02,0.001193133,34680044.16,0.001171907,44586713,0.001133773,,,
8/10/2022,8:28:02,32.065,37.02,4960820.03,0.000590905,14867698.6,0.003450447,24774015.95,0.001193193,34680045.66,0.0011718,44586714.43,0.001132807,,,
8/10/2022,8:28:04,33.496,37.02,4960820.29,0.000590736,14867670.55,0.00339338,24774016.96,0.001193347,34680047.14,0.001171813,44586715.78,0.001131733,,,
8/10/2022,8:28:05,34.752,37.02,4960820.5,0.00059049,14867701.06,0.00345344,24774017.84,0.00119348,34680048.45,0.0011713,44586717.24,0.001130853,,,
8/10/2022,8:28:06,35.995,37.02,4960820.77,0.00059029,14867722.87,0.00349596,24774018.64,0.001193413,34680049.68,0.00117082,44586718.9,0.001130613,,,
8/10/2022,8:28:08,37.249,37.02,4960820.99,0.000590133,14867708.9,0.003467133,24774019.38,0.001193393,34680051.11,0.001170847,44586720.98,0.00113132,,,
8/10/2022,8:28:09,38.5,37.02,4960821.31,0.000589978,14867711.38,0.00347116,24774020.12,0.001193407,34680052.61,0.001171127,44586722.84,0.001131727,,,
8/10/2022,8:28:10,39.751,37.02,4960821.71,0.000589792,14867717.99,0.003483173,24774021,0.001193473,34680053.82,0.001170927,44586724.56,0.001131953,,,
8/10/2022,8:28:11,41.017,37.02,4960822.09,0.00058962,14867725.8,0.00349778,24774021.84,0.001193707,34680055.08,0.00117082,44586726.04,0.00113146,,,
8/10/2022,8:28:13,42.273,37.02,4960822.27,0.000589439,14867727.97,0.003501107,24774022.58,0.001193567,34680056.5,0.001171093,44586727.72,0.00113176,,,
8/10/2022,8:28:14,43.513,37.02,4960822.47,0.000589298,14867711.93,0.003467933,24774023.27,0.00119368,34680057.86,0.001171307,44586729.26,0.001131607,,,
8/10/2022,8:28:15,44.764,37.02,4960822.75,0.000589115,14867687.63,0.003418333,24774023.93,0.001193727,34680059.04,0.001171187,44586730.75,0.00113154,,,
8/10/2022,8:28:16,46.019,37.02,4960823.04,0.000588962,14867688.88,0.003419813,24774024.78,0.001194107,34680060.22,0.001171093,44586732.3,0.001131593,,,
8/10/2022,8:28:18,47.34,37.02,4960823.19,0.00058878,14867668.72,0.003378673,24774025.57,0.0011943,34680061.48,0.001171207,44586733.7,0.00113146,,,
8/10/2022,8:28:19,48.583,37.02,4960823.49,0.000588634,14867681.68,0.00340376,24774026.38,0.00119458,34680062.81,0.001171433,44586735.39,0.001131967,,,
8/10/2022,8:28:20,49.829,37.02,4960823.75,0.000588505,14867686.17,0.00341162,24774027.36,0.0011948,34680064.06,0.001171527,44586736.92,0.001132173,,,
8/10/2022,8:28:22,51.273,37.02,4960823.89,0.000588366,14867661.56,0.003361647,24774028.23,0.00119522,34680065.39,0.001171947,44586737.87,0.001131227,,,
8/10/2022,8:28:23,52.516,37.02,4960824.09,0.00058824,14867680.45,0.00339854,24774029.19,0.00119544,34680066.42,0.001171813,44586739.4,0.00113148,,,
8/10/2022,8:28:24,53.77,37.02,4960824.33,0.000588135,14867693.3,0.003423233,24774030.06,0.001195547,34680067.5,0.001171747,44586740.89,0.00113176,,,
8/10/2022,8:28:25,55.022,37.02,4960824.47,0.000588022,14867681.51,0.003398807,24774030.68,0.001195393,34680068.49,0.001171707,44586742.11,0.001131527,,,
8/10/2022,8:28:27,56.26,37.02,4960824.76,0.000587914,14867675.49,0.00338594,24774031.48,0.001195267,34680069.53,0.001171693,44586743.14,0.00113106,,,
8/10/2022,8:28:28,57.514,37.01,4960825.08,0.000587822,14867672.35,0.003378793,24774032.4,0.0011956,34680070.61,0.001171833,44586744.08,0.001130287,,,
8/10/2022,8:28:29,58.771,37.01,4960825.3,0.000587527,14867679.68,0.003392447,24774033.14,0.00119566,34680071.68,0.001171887,44586745.22,0.00112988,,,
8/10/2022,8:28:30,60.018,37.01,4960819.68,0.000591145,14867677.21,0.003385933,24774034.46,0.001195967,34680073.07,0.001173247,44586741.51,0.00113178,,,
8/10/2022,8:28:32,61.26,37.01,4960815.06,0.000600103,14867680.86,0.00340166,24774035.75,0.001209933,34680064.37,0.001180047,44586731.18,0.001140527,,,
8/10/2022,8:28:33,62.592,37.01,4960806.27,0.000611319,14867679.35,0.003434073,24774017.14,0.00124566,34680040.87,0.00121108,44586700.7,0.001181513,,,
8/10/2022,8:28:34,63.834,37.01,4960798.69,0.000624083,14867658.52,0.00343342,24774006.71,0.001282827,34680023.94,0.001259733,44586676.72,0.00124996,,,
8/10/2022,8:28:36,65.273,37.01,4960790.29,0.000635121,14867671.87,0.00349698,24773991.67,0.00131626,34680001.1,0.00129738,44586648.82,0.001303667,,,
8/10/2022,8:28:37,66.51,37.01,4960781.84,0.00064512,14867659.23,0.003511907,24773975.93,0.001348287,34679977.95,0.00133464,44586618.93,0.001356153,,,
8/10/2022,8:28:38,67.767,37.01,4960773.42,0.000653507,14867671.04,0.003575987,24773959.64,0.00137968,34679954.74,0.001371053,44586588.74,0.001407533,,,
8/10/2022,8:28:39,69.02,37.01,4960765.69,0.000660643,14867660.92,0.003596073,24773942.82,0.001410367,34679931.06,0.001407753,44586558.67,0.001460727,,,
8/10/2022,8:28:41,70.274,37.01,4960758.6,0.000667557,14867662.83,0.003638293,24773926.06,0.00143944,34679906.87,0.001441593,44586528.22,0.00151116,,,
8/10/2022,8:28:42,71.512,37.01,4960749.09,0.000677863,14867629.62,0.0036109,24773907.77,0.00146282,34679886.27,0.001474113,44586501.93,0.001560153,,,
8/10/2022,8:28:43,72.764,37.01,4960738.88,0.000692661,14867598.38,0.003594067,24773889.51,0.00149142,34679862.11,0.001510547,44586470.06,0.001612773,,,
8/10/2022,8:28:44,74.017,37.01,4960715.67,0.000713805,14867568.26,0.003587967,24773858.91,0.0015356,34679810.14,0.0015775,44586403.39,0.00170146,,,
8/10/2022,8:28:46,75.331,37,4960697.99,0.000741565,14867512.77,0.003573407,24773824.19,0.001603413,34679770.12,0.001676347,44586350.38,0.001821967,,,
8/10/2022,8:28:47,76.579,37,4960677.39,0.000765803,14867488.11,0.003627927,24773790.2,0.001673127,34679721,0.001769893,44586288.95,0.00192764,,,
8/10/2022,8:28:48,78.014,37,4960656.88,0.000790122,14867460.43,0.00367402,24773754.55,0.001738687,34679673.32,0.001858387,44586229.58,0.002032427,,,
8/10/2022,8:28:50,79.277,37,4960636.05,0.000814447,14867432.06,0.003718853,24773718.74,0.001804573,34679622.99,0.00194168,44586164.13,0.002138967,,,
8/10/2022,8:28:51,80.514,37,4960615.17,0.000838748,14867412.24,0.003782273,24773681.48,0.001869467,34679572.95,0.00202766,44586103.97,0.002245233,,,
8/10/2022,8:28:52,81.772,37,4960594.48,0.000862963,14867378.12,0.003816413,24773645.66,0.00193508,34679524.77,0.002115487,44586044.56,0.00235138,,,
8/10/2022,8:28:53,83.011,37,4960573.43,0.000887271,14867323.66,0.00380908,24773609.51,0.00200038,34679475.3,0.0022067,44585980.04,0.002458853,,,
8/10/2022,8:28:55,84.267,37,4960552.7,0.000911383,14867274.57,0.00381438,24773572.78,0.002066133,34679421.96,0.00228716,44585917.74,0.002565753,,,
8/10/2022,8:28:56,85.522,37,4960532.01,0.000935665,14867222.58,0.00381278,24773536.83,0.002132647,34679374.77,0.002377047,44585856.39,0.002673853,,,
8/10/2022,8:28:57,86.761,37,4960510.95,0.000960033,14867163.96,0.003797453,24773500.15,0.002198253,34679326.4,0.002469213,44585794.18,0.002779987,,,
8/10/2022,8:28:58,88.096,37,4960490.13,0.00098431,14867145.22,0.00386326,24773463.14,0.002264707,34679276.83,0.002556127,44585732.14,0.002886067,,,
8/10/2022,8:29:00,89.328,37,4960469.57,0.001008617,14867114.75,0.003903833,24773427.85,0.002332353,34679227.65,0.002644567,44585667.32,0.002979927,,,
8/10/2022,8:29:01,90.585,37,4960448.73,0.001032994,14867048.22,0.003873753,24773393.8,0.002401913,34679178.3,0.0027322,44585602.87,0.003086,,,
8/10/2022,8:29:02,92.015,37,4960428.01,0.00105741,14867026.26,0.00393346,24773357.48,0.00247014,34679126.46,0.00282026,44585539.57,0.003190093,,,
8/10/2022,8:29:04,93.275,37,4960407.27,0.001081629,14866991.3,0.003965927,24773322.71,0.0025391,34679076.7,0.002908853,44585477.33,0.00329584,,,
8/10/2022,8:29:05,94.513,37,4960386.93,0.001105683,14866947.44,0.003979873,24773288.75,0.00260856,34679029.22,0.00299662,44585414.41,0.003399393,,,
8/10/2022,8:29:06,95.767,37,4960366.69,0.001129863,14866905.63,0.003999213,24773252.93,0.002678513,34678979.21,0.0030836,44585348.7,0.003495707,,,
8/10/2022,8:29:07,97.017,37,4960345.89,0.001153981,14866867.91,0.004025647,24773217,0.002747233,34678929.41,0.003170533,44585281.9,0.003597253,,,
8/10/2022,8:29:09,98.269,37,4960325.21,0.00117814,14866810.67,0.004016907,24773177.91,0.002816247,34678876.16,0.00325942,44585215.12,0.003699593,,,
8/10/2022,8:29:10,99.519,37,4960304.58,0.001202274,14866752.06,0.004003213,24773140.8,0.002884713,34678823.52,0.003348553,44585149.41,0.00379764,,,
8/10/2022,8:29:11,100.769,37,4960283.73,0.001226428,14866716.89,0.004036573,24773104.81,0.00295342,34678771.89,0.003433347,44585083.63,0.003896087,,,
8/10/2022,8:29:12,102.039,37,4960262.97,0.001250639,14866659.94,0.00402742,24773067.68,0.003022367,34678716.87,0.00352278,44585016.69,0.00399372,,,
8/10/2022,8:29:14,103.342,37,4960242.41,0.001274723,14866611.38,0.004034273,24773031.04,0.0030918,34678665.21,0.003614353,44584950.33,0.004091313,,,
8/10/2022,8:29:15,104.616,37,4960222.18,0.00129865,14866562.93,0.004039613,24772995.36,0.003159467,34678615.4,0.0036981,44584886.29,0.004190993,,,
8/10/2022,8:29:16,106.036,37,4960202.02,0.001322766,14866518.26,0.004052727,24772960.57,0.003225493,34678567.19,0.003785213,44584824.29,0.00429274,,,
8/10/2022,8:29:18,107.287,37,4960181.94,0.00134679,14866470.68,0.004059047,24772925.66,0.00329182,34678518,0.00387326,44584762.4,0.004394647,,,
8/10/2022,8:29:19,108.527,37,4960161.93,0.001370805,14866442.05,0.0041034,24772890.76,0.003358107,34678469.67,0.00396172,44584701.56,0.004499127,,,
8/10/2022,8:29:20,109.78,37,4960142,0.001394608,14866394.94,0.004110333,24772855.18,0.00342328,34678420.99,0.004044173,44584639.55,0.004602807,,,
8/10/2022,8:29:21,111.035,37.01,4960121.89,0.00141865,14866360.93,0.004143093,24772819.71,0.003488547,34678372.69,0.004131433,44584579.1,0.004708453,,,
8/10/2022,8:29:23,112.29,37.01,4960102.09,0.001442793,14866319.27,0.0041604,24772783.7,0.003552487,34678323.59,0.004218673,44584519.72,0.004814813,,,
8/10/2022,8:29:24,113.526,37.01,4960082.51,0.001466564,14866280.08,0.004182867,24772747.95,0.003616687,34678275.4,0.004303993,44584460.47,0.00492232,,,
8/10/2022,8:29:25,114.861,37.01,4960063.3,0.001490626,14866244.95,0.004212313,24772712.82,0.003681853,34678227.15,0.004389733,44584399.76,0.005032033,,,
8/10/2022,8:29:26,116.091,37.01,4960043.39,0.001514508,14866178.59,0.004179733,24772676.97,0.00374708,34678178.99,0.004471753,44584339.94,0.00513294,,,
8/10/2022,8:29:28,117.284,37.01,4960023.77,0.001538461,14866133.99,0.004190833,24772641.53,0.003812553,34678130.65,0.004553893,44584279.53,0.005236513,,,
8/10/2022,8:29:28,117.54,37.01,4960023.77,0.001538461,14866133.99,0.004190833,24772641.53,0.003812553,34678130.65,0.004553893,44584279.53,0.005236513,,,
8/10/2022,8:29:29,118.778,37.01,4960003.81,0.001562168,14866096.54,0.0042166,24772605.25,0.003875973,34678082.6,0.004636267,44584220.89,0.005341307,,,
8/10/2022,8:29:30,120.038,37.01,4959983.66,0.001586012,14866035.15,0.004194053,24772569.37,0.003940873,34678034.9,0.004717753,44584164.11,0.005447373,,,
8/10/2022,8:29:32,121.277,37.01,4959965.13,0.001611655,14865980.61,0.00418548,24772533.53,0.00400362,34677985.77,0.00480332,44584106.36,0.00555026,,,
8/10/2022,8:29:33,122.528,37.01,4959944.43,0.001634538,14865924.32,0.004177867,24772498.12,0.004075707,34677938.73,0.004892013,44584050.83,0.00565944,,,
8/10/2022,8:29:34,123.789,37.01,4959929.47,0.001653343,14865879.38,0.00418044,24772467.33,0.004139367,34677892.14,0.004984613,44583999.46,0.00576974,,,
8/10/2022,8:29:35,125.039,37.01,4959914.75,0.001668002,14865831.44,0.004169733,24772427.27,0.004180553,34677847.1,0.005050587,44583946.39,0.00584874,,,
8/10/2022,8:29:37,126.279,37.01,4959903.92,0.001680113,14865788.93,0.004159633,24772406.71,0.004213993,34677822.26,0.00509864,44583914.44,0.0059012,,,
8/10/2022,8:29:38,127.533,37.01,4959892.66,0.001692411,14865751.28,0.004143013,24772388.15,0.004248553,34677798.53,0.005149,44583885.8,0.00594794,,,
8/10/2022,8:29:39,128.782,37.01,4959881.76,0.001705227,14865710.11,0.00411922,24772370.17,0.004282193,34677775.59,0.005197733,44583856.76,0.00600196,,,
8/10/2022,8:29:40,130.036,37.01,4959870.8,0.001718762,14865671.46,0.004100687,24772353.36,0.00431906,34677753.43,0.0052483,44583828.74,0.006056813,,,
8/10/2022,8:29:42,131.348,37.01,4959859.43,0.001733594,14865632.75,0.004082247,24772336.47,0.004357787,34677731.58,0.005300253,44583800.16,0.00611342,,,
8/10/2022,8:29:43,132.783,37.01,4959847.95,0.001751849,14865599.38,0.004073347,24772320.97,0.004398113,34677712.85,0.00535314,44583774.79,0.006161,,,
8/10/2022,8:29:44,134.041,37.01,4959835.47,0.00176785,14865559.09,0.004048667,24772304.22,0.004435607,34677691.92,0.00540712,44583746.79,0.00621492,,,
8/10/2022,8:29:46,135.301,37.01,4959827.55,0.001782707,14865540.63,0.00407098,24772292.16,0.004485733,34677672.38,0.0054744,44583718.82,0.006287067,,,
8/10/2022,8:29:47,136.541,37.01,4959815.11,0.001789618,14865529.09,0.0041045,24772278,0.00452592,34677641.76,0.005509053,44583681.35,0.006314807,,,
8/10/2022,8:29:48,138.047,37.01,4959815.47,0.00178952,14865516.16,0.004120873,24772270.9,0.004539953,34677642.21,0.005512553,44583678.06,0.006311907,,,
8/10/2022,8:29:48,138.048,37.01,4959815.47,0.00178952,14865516.16,0.004120873,24772270.9,0.004539953,34677642.21,0.005512553,44583678.06,0.006311907,,,
8/10/2022,8:29:49,139.046,37.01,4959816.58,0.001789017,14865516.68,0.004120113,24772273.4,0.00454256,34677644.44,0.00551016,44583682.04,0.006306933,,,
8/10/2022,8:29:51,140.295,37.01,4959817.64,0.001788797,14865518.33,0.004118607,24772276.67,0.004545607,34677647.03,0.005506253,44583683.26,0.006297093,,,
8/10/2022,8:29:52,141.547,37.01,4959818.45,0.001788315,14865520.12,0.004117993,24772279.9,0.00454894,34677650.13,0.005503973,44583682.43,0.006295573,,,
8/10/2022,8:29:53,142.801,37.01,4959819.57,0.00178796,14865520.86,0.004116333,24772283.08,0.00455036,34677656.5,0.00550836,44583688.63,0.006289633,,,
8/10/2022,8:29:54,144.055,37.01,4959820.68,0.001787597,14865522.49,0.004114547,24772286.99,0.004553473,34677661.95,0.005507787,44583688.16,0.006281147,,,
8/10/2022,8:29:56,145.352,37.01,4959821.65,0.001787285,14865523.81,0.004111747,24772289.74,0.00455642,34677665,0.005508647,44583688.28,0.006275053,,,
8/10/2022,8:29:57,146.805,37.01,4959822.91,0.001786943,14865524.97,0.004109307,24772293.29,0.004559153,34677669.72,0.005501733,44583695.79,0.006271773,,,
8/10/2022,8:29:58,148.049,37.01,4959824.18,0.001786688,14865526.9,0.004107193,24772298.1,0.00456316,34677674.78,0.0055033,44583700.97,0.00626586,,,
8/10/2022,8:30:00,149.304,37.01,4959825.18,0.001786387,14865529.01,0.00410544,24772301.49,0.004565267,34677673.94,0.00549738,44583703.2,0.006258193,,,
8/10/2022,8:30:01,150.552,37.01,4959826.57,0.001785921,14865530.76,0.004104087,24772307.65,0.004570333,34677676.5,0.005490227,44583704.51,0.006249213,,,
8/10/2022,8:30:02,151.801,37.01,4959827.79,0.001785617,14865532.83,0.004101873,24772311.59,0.00457158,34677681.14,0.00548898,44583706.97,0.006240793,,,
8/10/2022,8:30:03,153.056,37.01,4959828.75,0.001785275,14865536.28,0.00410322,24772314.39,0.0045731,34677683.09,0.00548566,44583711.06,0.006237907,,,
8/10/2022,8:30:05,154.296,37.01,4959830.01,0.001784838,14865538.67,0.004102153,24772317.6,0.004572933,34677687.95,0.00548602,44583716.05,0.00623006,,,
8/10/2022,8:30:06,155.551,37.01,4959831.26,0.001784468,14865541.14,0.0041008,24772320.74,0.004573187,34677695.41,0.00548576,44583721.7,0.006230133,,,
8/10/2022,8:30:07,156.791,37.01,4959832.14,0.00178422,14865543.06,0.004100227,24772323.36,0.004572993,34677699.84,0.005484393,44583723.34,0.006219673,,,
8/10/2022,8:30:08,158.126,37.01,4959833.05,0.001784061,14865545.34,0.004099527,24772325.88,0.00457348,34677699.63,0.00547848,44583728.23,0.00621652,,,
8/10/2022,8:30:10,159.376,37.01,4959833.69,0.001783917,14865548.4,0.00409792,24772329.68,0.004571967,34677704.04,0.005476387,44583735.88,0.00622012,,,
8/10/2022,8:30:11,160.814,37.01,4959834.73,0.001783714,14865550.07,0.004096213,24772333.15,0.004570513,34677708.5,0.005474733,44583745.2,0.0062201,,,
8/10/2022,8:30:12,162.059,37.01,4959835.94,0.00178349,14865553.84,0.004095013,24772340.35,0.00457162,34677717.56,0.005474713,44583754.69,0.00622018,,,
8/10/2022,8:30:14,163.314,37.01,4959836.94,0.00178312,14865556.96,0.004094173,24772347.19,0.004574107,34677724.8,0.005469313,44583758.49,0.006214013,,,
8/10/2022,8:30:15,164.572,37.01,4959838.38,0.001782814,14865558.03,0.00408984,24772351.69,0.00457616,34677731.53,0.00547006,44583765.89,0.00621262,,,
8/10/2022,8:30:16,165.809,37.01,4959839.41,0.00178253,14865560.64,0.00408674,24772357.44,0.004577613,34677740.46,0.005466787,44583776.23,0.006215713,,,
8/10/2022,8:30:17,167.062,37.01,4959840.25,0.001782369,14865563.2,0.004083707,24772362.75,0.0045794,34677748.26,0.005462113,44583785.12,0.006219813,,,
8/10/2022,8:30:19,168.318,37.01,4959840.97,0.001782253,14865565.84,0.004082653,24772365.14,0.004577933,34677751.15,0.005460633,44583788.93,0.006216493,,,
8/10/2022,8:30:20,169.558,37.01,4959841.51,0.001782086,14865568.73,0.004082247,24772369.22,0.004582647,34677755.62,0.005461007,44583790.62,0.006215047,,,
8/10/2022,8:30:21,170.812,37.01,4959841.97,0.001781962,14865570.55,0.004081107,24772373.22,0.00458826,34677761.37,0.00546144,44583793.57,0.006210467,,,
8/10/2022,8:30:22,172.069,37.01,4959842.41,0.001781908,14865572.7,0.00408026,24772376.85,0.004592027,34677763.67,0.005455013,44583797.68,0.00620446,,,
8/10/2022,8:30:24,173.37,37.01,4959842.94,0.00178182,14865574.48,0.00407916,24772379.18,0.004593313,34677768.64,0.005457393,44583801.56,0.006203253,,,
8/10/2022,8:30:25,174.626,37.01,4959843.44,0.001781721,14865575.96,0.004077433,24772382.66,0.004597207,34677773.47,0.005459093,44583804.46,0.006198373,,,
8/10/2022,8:30:26,176.057,37.01,4959843.77,0.001781472,14865577.63,0.004076233,24772386.17,0.004601227,34677778.09,0.005459333,44583805.41,0.006189773,,,
8/10/2022,8:30:28,177.314,37.01,4959843.92,0.001781496,14865579.7,0.004075827,24772389.81,0.004606107,34677781.84,0.005462253,44583803.66,0.006175747,,,
8/10/2022,8:30:29,178.556,37.01,4959843.11,0.001781268,14865582.45,0.0040775,24772391.58,0.00460776,34677784.58,0.00546196,44583805.87,0.006162933,,,
8/10/2022,8:30:30,179.808,37.01,4959843.35,0.001781223,14865583.31,0.004075153,24772395.96,0.004613293,34677786.81,0.005459407,44583805.94,0.006159587,,,
8/10/2022,8:30:31,181.065,37.01,4959843.75,0.001781127,14865585,0.004074313,24772400.57,0.004617813,34677790.68,0.005463907,44583808.14,0.006155227,,,
8/10/2022,8:30:33,182.318,37.01,4959844.35,0.001781295,14865586.88,0.004073173,24772403.67,0.004621993,34677795.77,0.005471673,44583809.62,0.00615232,,,
8/10/2022,8:30:34,183.81,37.01,4959844.63,0.00178134,14865588.06,0.004071187,24772408.32,0.004627133,34677798.65,0.00547388,44583806.17,0.006144507,,,
8/10/2022,8:30:34,183.811,37.01,4959844.63,0.00178134,14865588.06,0.004071187,24772408.32,0.004627133,34677798.65,0.00547388,44583806.17,0.006144507,,,
8/10/2022,8:30:35,184.827,37.01,4959845.01,0.001781331,14865589.03,0.004069087,24772412.49,0.00463332,34677803.89,0.005473353,44583807.78,0.006143113,,,
8/10/2022,8:30:36,186.079,37.01,4959845.24,0.001781197,14865590.2,0.004067527,24772415,0.004633773,34677809.54,0.005474907,44583807.44,0.006132567,,,
8/10/2022,8:30:38,187.333,37.01,4959845.55,0.001781167,14865592.82,0.00406902,24772418.4,0.004637287,34677813.82,0.0054754,44583809.22,0.00613154,,,
8/10/2022,8:30:39,188.585,37.01,4959845.79,0.001781057,14865596.9,0.004073867,24772420.28,0.004638553,34677817.35,0.005476707,44583806.93,0.006124593,,,
8/10/2022,8:30:40,189.886,37.01,4959845.74,0.001780691,14865598.68,0.00407434,24772422.46,0.004638853,34677820.05,0.005475847,44583809.1,0.00611684,,,
8/10/2022,8:30:42,191.325,37.01,4959846.1,0.001780614,14865599.5,0.00407232,24772424.96,0.00464104,34677822.02,0.005472533,44583810.67,0.006110293,,,
8/10/2022,8:30:43,192.437,37.01,4959846.3,0.001780372,14865602.11,0.0040741,24772426.98,0.004643073,34677822.46,0.005470767,44583812.04,0.006106533,,,
8/10/2022,8:30:44,193.839,37.01,4959846.51,0.001780158,14865605.2,0.004076773,24772427.96,0.004642593,34677824.99,0.00547088,44583812.89,0.00610482,,,
8/10/2022,8:30:45,195.091,37.01,4959846.77,0.001780069,14865607.97,0.004079087,24772428.5,0.004640593,34677827.43,0.00546954,44583811.58,0.006084187,,,
8/10/2022,8:30:47,196.343,37.01,4959847.07,0.001779894,14865610.43,0.00408086,24772429.21,0.004638367,34677827,0.005464073,44583814.1,0.006083573,,,
8/10/2022,8:30:48,197.593,37.01,4959847.37,0.001779741,14865612.71,0.004083707,24772431.11,0.004639007,34677829.5,0.005464613,44583818.21,0.006081773,,,
8/10/2022,8:30:49,198.845,37.01,4959847.72,0.001779457,14865612.95,0.004081513,24772432.72,0.00463898,34677830.84,0.005462293,44583820.49,0.00607196,,,
8/10/2022,8:30:50,200.098,37.01,4959848.01,0.001779096,14865614.11,0.004082147,24772431.38,0.004633987,34677835.2,0.0054661,44583825.17,0.006072147,,,
8/10/2022,8:30:52,201.415,37.01,4959848.56,0.001778641,14865612.95,0.004077733,24772432.75,0.00463442,34677838.69,0.005468373,44583829.88,0.006070407,,,
8/10/2022,8:30:53,202.649,37.01,4959849.1,0.001778477,14865613.63,0.004077093,24772433.86,0.004634167,34677839.54,0.005467647,44583832.12,0.00606968,,,
8/10/2022,8:30:54,203.9,37.01,4959849.52,0.001778018,14865613.4,0.004073747,24772435.11,0.004634513,34677842.9,0.005468387,44583837.01,0.006070313,,,
8/10/2022,8:30:56,205.341,37.01,4959850.01,0.001777774,14865613.23,0.00407106,24772436.56,0.004634873,34677843,0.00546476,44583839.66,0.0060606,,,
